"geoid","fuelheat","housingvalue","kitchen","mortgage","mortgagecost","mortgageval","occupy","occupyown","phone","plumbing","rentgross","rentprcinc","rooms","units","unitsownpop"
"05000US01001",87.67,"147900","97.88",63.31,"84.95","70.01",90.56,74.89,"97.94","97.17","966",37.8,6,1.78811271607862,74.82
"05000US01003",96.84,"189800","98.49",59.22,"84.1","61.07",70.23,73.62,"96.39","99.2","958",42.8,5.6,1.89516929103813,74.96
"05000US01005",86.05,"92900","96.1",45.35,"70.94","55.44",76.95,61.4,"97.13","95.22","590",39.9,5.5,1.53200522534291,60.05
"05000US01007",83,"96500","91.03",43.45,"71.49","46.41",74.66,75.07,"96.51","84.48","714",39.9,5.5,1.82236842105263,76.59
"05000US01009",87.55,"124700","92.42",49.63,"76.11","50.35",85.05,78.63,"96.98","96.66","662",40.8,5.6,1.97995145631068,80.84
"05000US01011",83.08,"77500","94.23",35.91,"55.79","37.32",79.74,75.53,"95.46","92.07","668",39.6,6,1.24494319756165,74.38
"05000US01013",81.55,"88300","80.54",43.56,"67.46","46.08",66.91,69.95,"97.41","80.93","606",40.7,5.5,1.57185450208706,68.88
"05000US01015",92.81,"113800","95.17",52.66,"77.99","58.23",83.89,69.47,"98.37","97.73","680",39.7,5.7,1.76168587480292,69.07
"05000US01017",86.49,"88400","91.82",49.07,"72.72","56.08",79.59,67.76,"97.86","95.03","715",43,5.5,1.59196507842557,67.68
"05000US01019",72.85,"123100","96.15",39.38,"67.86","44.84",64.16,78.96,"97.08","96.2","606",45.9,5.6,1.94899113709221,79.96
"05000US01021",82.41,"102200","96.45",47.97,"74.67","50.74",85.53,74.85,"97.02","96.72","684",38.6,5.6,1.8869918213838,74.95
"05000US01023",70.96,"75200","90.35",33,"58.24","41.39",72.85,79.68,"97.2","88.85","533",46.1,5.4,1.55327102803738,79.74
"05000US01025",85.2,"100800","91.5",37.74,"64.59","47.46",73.45,67.47,"94.07","90.17","561",42.3,5.8,1.55599487069887,71.95
"05000US01027",78.19,"102200","89.74",42.04,"74.12","49.43",76.98,72.36,"97.61","92.16","564",43.7,5.8,1.83441558441558,73.28
"05000US01029",65.79,"112000","94.43",44.16,"72.02","51.09",84.13,75.65,"96.86","94.26","575",42.5,5.5,1.94830597275585,76.61
"05000US01031",94.18,"149100","96.98",56.05,"81.76","62.4",85.71,64.79,"97.69","96.05","782",39.3,5.7,1.77947344484309,65.6
"05000US01033",91.47,"113500","92.51",50.97,"73.13","42.9",82.37,72.71,"96.82","92.33","691",42.7,6,1.82168906830589,73.53
"05000US01035",88.5,"76600","76.31",26.06,"51.09","30.89",64.03,76.61,"96.15","77.1","568",44.8,5.2,1.52645386969829,76.65
"05000US01037",73.97,"87900","85.77",48.13,"72.69","56.48",62.56,81.99,"97.05","84.23","554",46.9,5.6,1.69461369729466,83.16
"05000US01039",90.68,"95500","93.18",47.24,"73.54","55.21",79.38,74.03,"97.91","94.21","608",43.9,5.3,1.86507196162047,74.7
"05000US01041",77.45,"79500","89.5",39.42,"67.01","44.58",74.01,73.81,"97.71","90.01","518",41.5,5.6,1.72298507462687,73.89
"05000US01043",85.63,"124100","93.92",52.41,"76.56","49.89",81.62,74.58,"98.32","96.36","685",40.6,5.6,1.97185161080377,75.34
"05000US01045",95.27,"110100","96.86",55.35,"80.81","63.37",80.95,60.2,"97.79","95.04","725",37.5,5.5,1.76416711301553,56.56
"05000US01047",87.33,"82600","91.22",44.78,"69.31","50.71",80.33,59.79,"94.25","94.3","623",39.5,5.6,1.31225514201763,58.76
"05000US01049",78.63,"102700","95.82",45.53,"72.38","47.04",83.06,71.19,"97","94.12","619",39.3,5.7,1.95771467932037,71.05
"05000US01051",87.43,"161100","98.01",64.34,"87.15","67.63",85.7,73.71,"98.07","98.11","869",38.6,5.9,1.79641766461929,74.19
"05000US01053",94.94,"98200","92.49",36.54,"63.36","43.54",80.92,68.79,"97.3","92.36","587",39.7,5.2,1.63844206136431,69.62
"05000US01055",92.91,"109900","95.62",50.69,"76.58","51.96",81.28,71.9,"98.17","97.85","669",41.3,5.8,1.82822291564587,71.8
"05000US01057",83.49,"83800","95.7",37.6,"65.04","32.53",82.02,77.9,"97.48","97.66","557",43.8,5.6,1.87721318554772,78.99
"05000US01059",89.93,"87800","90.4",44.64,"69.45","47.11",79.21,70.56,"94.01","91","572",37.6,5.9,1.94433541480821,68.46
"05000US01061",94.49,"92300","94.58",44.23,"71.1","47.3",82.07,70.81,"96.78","93.87","615",42.4,5.7,1.89063841969654,68.5
"05000US01063",76.45,"66400","90.92",28.9,"46.42","27.19",58.23,68.73,"95.6","78.68","609",42.5,4.9,1.21725888324873,71.54
"05000US01065",82.6,"92700","92.52",37.93,"63.17","41.32",72.75,71.47,"95.51","83.72","510",39.2,5.1,1.42311770943796,75.55
"05000US01067",92.8,"115100","94",50.53,"77.28","51.71",73.32,82.8,"97.95","89.61","608",44.1,5.5,1.73489278752437,82
"05000US01069",97.69,"130500","96.08",58.06,"82.6","62.18",83.19,65.58,"98","95.55","741",39.8,5.7,1.72096400275138,64.94
"05000US01071",80.46,"105300","94.28",45.29,"73.53","52.61",82.16,74.09,"97.01","94.36","619",43.3,5.8,1.92994279065257,75.08
"05000US01073",97.89,"154400","94.84",63.53,"84.77","67.64",84.89,62.8,"98.09","96.56","878",37.7,5.7,1.55181968695865,64.86
"05000US01075",82.33,"77200","89.3",36.41,"62.2","44.71",80.84,76.45,"96.52","91.46","392",44.5,5.6,1.86457984599933,79.24
"05000US01077",91.59,"136400","94.89",52.54,"77.45","52.18",85.98,68.48,"97.9","93.97","658",41.4,5.7,1.88508074985719,71.08
"05000US01079",82.59,"107200","90.57",45.6,"73.08","52.84",83.33,79.1,"96.07","90.83","540",42.2,5.9,1.79814222152837,78.23
"05000US01081",95.39,"165000","98.64",61.52,"85.02","65.99",87.21,60.33,"97.53","98.84","831",31.4,5.4,1.71210819732875,63.1
"05000US01083",90.76,"152900","97.24",60.09,"83.73","64.87",89.07,78.02,"97.62","98.23","658",39.5,6,1.85099296519953,77.69
"05000US01085",67.79,"66300","92.71",42.32,"66.08","52.99",80.59,73.66,"94.88","91.63","650",41.6,5.6,1.2511961722488,72.42
"05000US01087",80.11,"79500","90.38",42.22,"66.54","52.35",74.33,65.75,"97.49","85.67","611",38,5.8,1.18109205185282,66.35
"05000US01089",95.77,"180600","97.74",67.75,"87.93","69.44",91.18,67.23,"98.17","98.79","829",38.5,6.1,1.71044225367627,70.23
"05000US01091",82.25,"90000","92.03",39,"63.91","51.85",75.23,71.23,"97.05","91.57","531",42.7,5.5,1.44606076210093,73.52
"05000US01093",90.08,"86500","95.22",43.66,"69.08","46.64",82.14,75.36,"97.42","94.93","519",44.3,5.5,1.94939403865051,77.11
"05000US01095",91.89,"122500","97.45",53.37,"79.47","58.31",85.89,70.37,"97.57","97.8","632",38.7,5.9,1.95973750573132,69.26
"05000US01097",97.56,"126600","94.23",60.17,"82.81","64.78",85.08,64.89,"97.65","96.72","846",37.6,5.7,1.61813759778221,66.16
"05000US01099",91.46,"103000","92.78",42.48,"70.83","45.48",71.49,60.89,"93.62","91.21","524",42.3,5.7,1.55638728678365,62.62
"05000US01101",97.13,"127500","94.68",65.49,"85.89","68.39",86.09,58.58,"97.9","95.07","869",36.2,5.8,1.40475315856849,59.35
"05000US01103",93.12,"131000","96.48",54.96,"79.66","56.8",87.86,72.14,"96.02","97.34","640",40.4,5.9,1.8469964509486,73.07
"05000US01105",78.83,"65900","86.95",33.57,"59.94","34.69",64.81,72.75,"89.51","78.66","574",37.7,5.5,1.34524196167587,74.64
"05000US01107",78.62,"97500","93.64",41.08,"68.41","51.56",78.79,73.96,"98.17","95.33","456",42.4,5.9,1.59203187250996,76.33
"05000US01109",92.24,"117400","93.1",51.18,"78.13","57.84",71.82,59.28,"97.45","93.29","621",30.8,5.2,1.5817961375249,64.69
"05000US01111",70.73,"88700","87.43",40.2,"67.93","39.7",71.69,73.41,"97.82","91.54","612",42.7,5.5,1.80411894018281,73.63
"05000US01113",91.4,"118600","93.87",57.9,"82.25","64.97",82.91,59.81,"96.79","93.55","800",35.9,5.5,1.53852242744063,59.08
"05000US01115",90.94,"148200","96.88",58.88,"81.69","65.43",87.83,78.94,"98.36","96.61","748",40.3,5.9,1.90199552405819,79.52
"05000US01117",95.81,"204500","98.01",70.05,"88.58","69.89",91,79.67,"98.31","98.06","1020",38.9,6.4,1.8516750076601,81.15
"05000US01119",77.63,"74600","92.11",36.36,"63.35","44.06",73.59,64.95,"96.57","89.92","578",35.8,5.2,1.23954824648306,69.14
"05000US01121",87.87,"101800","92.21",49.96,"74.64","56.08",83.38,71.3,"97.64","93.75","630",41.1,5.7,1.66803578820008,72.26
"05000US01123",85.69,"107800","94.09",48.89,"74.48","54.46",73.72,72.85,"98.34","95.23","648",43.7,5.6,1.74714250972763,71.15
"05000US01125",96.48,"166000","98.59",64.26,"85.94","68.33",79.91,63.15,"97.45","96.92","843",32.7,5.3,1.67145166415673,65.5
"05000US01127",90.57,"93100","92.28",42.63,"70.72","56.21",80.61,76.07,"98.53","90.89","603",42.4,5.6,1.91959578207381,76.43
"05000US01129",76.41,"85200","89.63",34.25,"62.84","38.65",70.6,83.8,"97.07","89.14","709",43.6,5.6,1.66622274013651,82.34
"05000US01131",77.63,"82200","93.73",26.51,"48.72","30.33",66.41,64.96,"92.27","91.85","524",40.8,5.5,1.29626708727655,67.98
"05000US01133",76.25,"87800","92.2",39.28,"68.41","46.86",68.89,78.97,"97.04","90.36","525",44.9,5.5,1.97458258002765,79.42
"05000US02013",95.35,"123000","95.39",29.32,"46.3","28.63",77.76,61.86,"97.44","93.49","992",42.7,5.1,1.25,66.77
"05000US02016",95.75,"247900","95.22",53.78,"79.41","73.09",59.79,28.15,"98.38","92.02","1321",37.6,4.7,1.41326530612245,24.93
"05000US02020",97.01,"308000","98.69",71.06,"87.92","73.55",91.44,60.86,"98.43","98.73","1306",33.2,5.2,1.75295708009463,62.86
"05000US02050",87.53,"110200","69.35",29.89,"57.44","44.83",75.63,61.08,"96.91","58.65","1271",27.1,3.7,1.16454585344449,66.57
"05000US02060",93.39,"179500","77.45",40.34,"68.79","49.61",35.43,52.85,"98.8","71.49","1000",41.8,4.3,1.62162162162162,54.53
"05000US02068",58.53,"203500","58.88",45.89,"78.19","51.68",39.27,78.09,"97.03","52.3","814",43.1,2.9,1.8716744913928,81.42
"05000US02070",91.75,"183200","72.12",31.31,"57.88","42.42",58.05,60.28,"99.08","67.42","1018",30.3,3.7,1.21267605633803,66.73
"05000US02090",83.57,"236800","90.21",69.02,"87.16","71.23",82.87,58.51,"97.53","88.5","1296",31.1,4.8,1.82849943855613,61.01
"05000US02100",57.99,"258100","82.96",50.29,"69.46","48.49",61.33,67.45,"98.73","75.85","924",44.9,4.5,1.87426900584795,73.95
"05000US02105",62.45,"228500","77.54",31.69,"63.38","33.03",48.25,73.84,"96.5","74.28","897",50.2,4,1.57571964956195,73.33
"05000US02110",90.8,"344000","98.14",71.69,"88.51","71",92.16,64,"98.08","97.78","1226",38.1,4.9,1.80576631259484,67.73
"05000US02122",85.54,"239800","88.56",56.34,"81.78","59.26",69.79,73.28,"98.25","86.36","994",40.8,4.4,1.8977967894761,73.46
"05000US02130",85.08,"272300","95.13",66.91,"86.35","68.44",83.98,60.82,"98.18","94.99","1165",39.6,4.8,1.75764970902947,64.73
"05000US02150",87.67,"275000","94.88",67.78,"87.48","74.01",80.91,55,"97.26","95.36","1369",33.5,4.6,1.65950148639378,57.76
"05000US02158",76.77,"76000","66.92",22.51,"32.47","34.76",76.04,74.29,"96.57","59.28","617",23.8,3.9,1.0354609929078,77.41
"05000US02164",91.53,"120200","66.64",20.75,"42.31","23.44",29.91,69.18,"96.94","57.14","770",33.5,3.7,1.23529411764706,68.03
"05000US02170",90.04,"243000","86.54",69.45,"88.86","73.11",73.95,76.89,"98.36","83.6","1112",35,4.7,1.90443343372519,79.75
"05000US02180",94.19,"149600","72.34",41.58,"69.23","59.6",70.5,60.31,"97.29","65.13","1297",28.1,3.7,1.22191304347826,65.21
"05000US02185",98.52,"143000","86.53",34.01,"59.43","43.41",76.11,50.25,"96.54","83.51","1098",34.8,3.9,1.09613428280773,54.34
"05000US02188",91.34,"131400","70.59",31.82,"51.49","39.92",67.86,55.59,"96.67","66.58","1253",27.2,3.5,1.18118279569892,60.87
"05000US02195",87.78,"213100","84.22",48.06,"75.75","56.39",66.4,68.29,"98.21","81.95","950",41,4.6,1.79401709401709,73
"05000US02198",54.59,"172700","87.46",29.55,"64.58","36.27",68.73,72.84,"95.97","83.98","834",41,4.5,1.57342954159593,71.93
"05000US02220",91.36,"349300","94.33",52.67,"79.5","58",84.81,57.91,"96.27","95.81","1123",38.8,4.6,1.75428250491435,62.5
"05000US02230",85.5,"314500","94.59",56.8,"82.87","55.81",61.82,51.5,"98.75","93.66","1056",38.5,4.2,1.9125,60.13
"05000US02240",62.14,"184000","73.16",37.59,"68.9","40.2",55.33,73.56,"97.69","68.79","1076",36.3,4.3,1.83726306056403,73.98
"05000US02261",79.77,"229800","75.7",44.32,"74.26","55.23",50.06,73.1,"99.35","67.85","981",39,4.1,1.83446492078888,71.02
"05000US02275",78.58,"212600","86.63",45.1,"76.24","54.18",72.52,68.34,"98.51","85.42","809",49.5,4.4,1.75325884543762,73.18
"05000US02282",84.48,"169300","77.72",42.07,"67.7","46.33",56.17,62.5,"99.14","75.06","1027",36.4,4.1,1.5301724137931,68.7
"05000US02290",49.37,"77700","46.24",13.69,"31.63","18.61",46.64,71.67,"91.45","38.24","683",35.3,2.9,1.21983210912907,71.97
"05000US04001",24.19,"62300","77.05",21.93,"59.11","36",62.16,78.39,"89.5","71.73","486",34.7,4.4,1.2970335866634,77.49
"05000US04003",83.56,"143800","94.8",56.21,"81.28","57.13",80.89,69.17,"97.19","95.93","810",40.6,5.5,1.92584771573604,68.36
"05000US04005",73.32,"261300","95.71",54.67,"83.69","62.17",72.25,60.57,"96.76","95.11","1131",30.6,5,1.75133260005077,63.15
"05000US04007",76.03,"157600","95.96",45.12,"74.29","50.74",64.97,73.86,"96.29","93.7","783",49.7,4.9,1.88253178551686,71.62
"05000US04009",90.15,"127000","92.75",55.69,"81.75","61.52",80.37,69.25,"96.7","91.89","765",33.3,5.6,1.88935262474495,68.99
"05000US04011",93.61,"82400","92.99",36.25,"63.2","26.25",72.72,49.18,"98.39","94.09","474",34.2,5.2,1.95875968992248,42.79
"05000US04012",75.92,"77600","94.78",25.83,"56.63","34.76",54.76,74.28,"97.06","95.17","625",56,3.9,1.88004937163375,72.34
"05000US04013",98.16,"242700","98.81",69.26,"88.37","71.49",88.46,61.36,"97.71","99.29","1079",36.1,5.4,1.88004145276693,61.73
"05000US04015",89.73,"151100","97.29",53.54,"80.36","59.91",75.07,68.64,"96.99","97.46","799",50.9,4.9,1.95088027139264,66.04
"05000US04017",48.37,"118800","91.3",38.58,"69.95","44.61",59.58,69.06,"93.84","89.25","691",36.4,4.8,1.6199610544366,69.18
"05000US04019",96.27,"173500","98.15",62.38,"83.68","63.81",87.73,62.39,"97.66","98.86","885",38.3,5.1,1.90519746474868,63.96
"05000US04021",96.85,"169800","98.08",61.14,"82.9","64.68",80.11,74.38,"97.64","98.22","1037",38.9,5.6,1.90213860116836,70.93
"05000US04023",85.47,"148500","97.07",64.86,"85.69","62.51",84.52,66.18,"97.43","97.68","666",36.6,5.3,1.98353856124433,65.84
"05000US04025",80.23,"231600","97.67",57.27,"81.38","57.36",83.33,71.93,"98.12","98.18","927",52.9,5.4,1.96186736383805,70.85
"05000US04027",80.53,"122000","97.56",57.73,"82.6","66.27",79.03,67.09,"96.64","98.74","854",34.3,4.8,1.94826325159047,67.22
"05000US05001",90.25,"83600","95.2",46.44,"69.31","44.03",81.3,63.71,"96.47","93.5","651",41.4,5.4,1.75019526165061,65.52
"05000US05003",86.53,"71500","94.92",37.04,"63.95","46.17",78,73.67,"97.69","95.58","607",41.7,5.5,1.73240682248895,74.63
"05000US05005",81.76,"128800","96.87",48.53,"74.9","51.37",80.36,75.82,"97.76","97.53","678",52.1,5.3,1.97778987479586,74.95
"05000US05007",87.59,"172000","96.25",67.95,"87.5","70.55",91.73,66.38,"98.16","98.14","873",35.3,5.8,1.91869229219891,68.26
"05000US05009",76.09,"124900","96.28",49.95,"75.13","51.62",87.62,71.54,"97.88","97.45","639",42.4,5.5,1.96637525218561,70.97
"05000US05011",79.14,"77800","96.76",39.7,"63.63","46.06",78.09,62.51,"95.28","95.83","588",40.2,5.3,1.679964734406,64.12
"05000US05013",77.32,"69400","91.99",33.75,"59.68","44.06",66.55,83.57,"97.16","92.64","644",45.5,5.6,1.76084710743802,83.48
"05000US05015",72.18,"126800","94.09",48.25,"76.2","52.04",81.62,75.98,"97.15","94.87","585",44.8,5.3,1.96828241197025,75.06
"05000US05017",84.45,"63000","94.22",34.6,"58.76","47.7",79.28,64.28,"96.49","95.01","597",42.7,5.4,1.43314763231198,60.12
"05000US05019",86.22,"100900","92.97",48.11,"74.99","57.5",81.02,62.68,"99.09","94.76","611",34.1,5.5,1.73309817754262,65.13
"05000US05021",75.27,"72400","92.47",39.32,"63.7","46.36",80.33,69.46,"96.91","94.23","586",43,5.4,1.98105884179475,67.31
"05000US05023",73.71,"132400","96.75",44.61,"71.06","51.1",66.89,74.58,"97.95","97.31","679",49.4,5.4,1.979032708974,74.34
"05000US05025",77.03,"83000","94.72",38.68,"66.66","45.59",80.47,75.39,"97.66","96.65","637",42.7,5.7,1.87332928311057,76.1
"05000US05027",91.93,"82800","92.14",45.2,"70.3","50.96",77.02,68.75,"97.8","93.38","656",36,5.5,1.61347913412185,70.05
"05000US05029",84.91,"101400","95.84",48.22,"73.29","48.8",86.44,68.27,"97.94","94.97","638",41.7,5.4,1.85356932153392,69.64
"05000US05031",92.96,"138500","97.65",61.42,"84.39","65.53",91.12,57.46,"98.11","98.49","747",34.1,5.4,1.83740196078431,58.97
"05000US05033",90.1,"116900","96.68",56.54,"79.54","58.01",88.64,76.71,"96.68","97.19","692",38.7,5.6,1.93000295346188,77.21
"05000US05035",93.24,"110500","95.08",59.49,"81.49","63.63",86.25,57.96,"97.04","95.28","732",35.1,5.3,1.46481126039667,57.44
"05000US05037",82.1,"83600","94.03",50.89,"74.42","64.87",84.06,67.43,"96.71","94.54","690",41.2,5.6,1.78607708395578,69.12
"05000US05039",84.7,"66600","88.99",40.44,"66.59","38.16",70.44,67.92,"98.48","91.06","631",43.7,5.6,1.56083086053412,70.86
"05000US05041",87.09,"62800","91.86",39.7,"64.26","49.14",81.1,59.38,"96.6","95.56","487",39.1,5.2,1.50420661318724,61.06
"05000US05043",85.41,"97600","95.17",48,"73.45","54.03",81.62,68.25,"96.84","95.65","640",37,5.2,1.71288116272442,70.47
"05000US05045",95.12,"157600","96.72",64.79,"85.73","68.46",88.51,62.63,"97.08","96.78","794",32.5,5.4,1.86166231999093,65.45
"05000US05047",87.7,"94200","95.09",50.49,"74.94","55.97",84.34,72.47,"96.38","93.28","603",41.3,5.4,1.97014705882353,72.29
"05000US05049",55.82,"93500","93.06",48.96,"77.03","61.18",73.32,78.18,"97.94","91.85","550",48.1,5.3,1.9848,77.97
"05000US05051",93.3,"138400","95.04",51.92,"77.33","53.4",78.44,67.57,"97.74","95.32","750",44.9,5.3,1.8898831904547,67.86
"05000US05053",90.52,"127100","93",50.49,"75.45","57.27",84.95,79.9,"98.66","98.3","716",40.4,5.8,1.96017699115044,79.53
"05000US05055",86.01,"113100","95.77",55.71,"78.19","61.8",89.55,67.74,"96.74","95.86","704",37.9,5.6,1.97049588245749,68.3
"05000US05057",90.66,"79400","86.18",46.81,"74.19","36.06",75.84,68.66,"97.21","89.88","657",39.9,5.5,1.6783339606072,67.79
"05000US05059",87.3,"91900","93.86",47.56,"73.32","52.35",85.78,75.7,"98.13","94.68","666",41.3,5.5,1.87767633513776,76.28
"05000US05061",92.8,"92500","91.79",44.9,"70.15","53.93",81.37,68.52,"97.47","92.27","590",38.8,5.3,1.763147566719,71.02
"05000US05063",78.06,"105200","96.87",55.46,"78.64","59.51",86.66,72.13,"98.21","97.12","633",39.4,5.5,1.95808802915615,73.81
"05000US05065",60.17,"81500","94.95",46.24,"70.72","46.39",69.41,79.1,"98.44","93.55","610",48,5.2,1.9794018617548,78.72
"05000US05067",87.44,"66900","92.68",43.65,"68.15","39.47",80.4,69.35,"97.9","92.47","581",39.9,5.2,1.82510254306809,70.82
"05000US05069",94.59,"83800","89.5",50.5,"74.01","57.81",80.85,62.45,"97.72","96.16","716",38.8,5.4,1.418059828743,62.64
"05000US05071",86.48,"98900","93.23",51.85,"76.72","49.22",85.49,71.59,"96.95","96.86","628",38,5.2,1.94887755102041,72.97
"05000US05073",88.69,"63300","88.86",35.97,"62.41","21.67",65.26,76.64,"96.26","85.89","377",46.3,5.2,1.62434417628541,77.71
"05000US05075",73.88,"75700","93.83",45.29,"68.26","42.48",81.64,66.74,"97.64","94.94","543",41.1,5.4,1.97825754095851,66.74
"05000US05077",82.07,"72700","94.07",37.38,"59.62","31.2",76.81,57.7,"97.02","83.48","504",41.8,5.4,1.40602625298329,59.31
"05000US05079",76.97,"74400","91.89",41.01,"63.38","37.6",77.1,74.6,"96.79","91.12","539",38.6,5.3,1.73965744400527,78.46
"05000US05081",91.08,"72200","96.14",38.54,"65.99","49.5",83.56,72.32,"96.19","96.54","567",42.6,5.5,1.73290441176471,71.36
"05000US05083",84.31,"90200","93.32",50.45,"75","48.86",83.14,71.77,"96.89","92.77","571",41.5,5.4,1.93832703213611,73.25
"05000US05085",94.2,"136200","95.71",64.25,"84.76","68.03",92.41,68.88,"92.51","97.96","794",36.1,5.7,1.91190263510496,69.65
"05000US05087",49.48,"107200","89.17",43.42,"73.88","49.26",82.03,78.37,"97.24","90.24","617",42.6,5.2,1.97142857142857,76.46
"05000US05089",66.64,"119000","93.23",46.67,"71.7","48.48",70.68,78.87,"97","94.26","590",51.7,5.1,1.97510871195082,80.12
"05000US05091",95.27,"106500","96.02",46.34,"72.72","49.78",85.68,63.72,"96.11","96.88","714",38.9,5.2,1.72545975638882,65.12
"05000US05093",94.21,"82700","91.41",49.32,"72.68","57.54",82,56.4,"97.57","93.38","609",36.2,5.3,1.64169824727617,57.05
"05000US05095",90.95,"64300","91.69",38.26,"62.33","45.8",74.66,59.95,"93.17","87.68","514",47,5.3,1.5625375826819,60
"05000US05097",60.59,"106700","90.57",41.83,"69.59","37.77",64.47,82.64,"95.91","91.38","446",50,5.3,1.96649827173624,81.23
"05000US05099",86.85,"64500","83.67",33.59,"57.69","37.55",72.01,68.06,"99.12","86.13","638",44.8,5.2,1.65152891310929,63.24
"05000US05101",41.94,"105100","82.03",37.66,"65.24","35.65",61.71,88.2,"99.9","83.8","539",49.1,4.8,1.94791307347361,88.19
"05000US05103",87.77,"72200","93.69",41.77,"68.05","42.21",76.89,68.17,"97.43","95.79","518",42.3,5.6,1.56489308801591,69.49
"05000US05105",70.17,"95400","92.75",45.32,"75.69","52.62",74.64,80.1,"97.36","89.49","652",43.5,5.2,1.95118662351672,79.39
"05000US05107",89.34,"68200","96.82",36.05,"60.71","38.1",73.53,48.2,"96.61","85.74","577",38.5,5.3,1.38276873833022,46.71
"05000US05109",76.02,"82300","91.64",39.63,"65.16","37.45",76.47,77.18,"97.88","91.3","533",42.8,5.5,1.95789718539195,78.71
"05000US05111",86.58,"75500","93.48",43.02,"65.73","50.13",86.05,63.47,"97.41","95.95","604",39.7,5.3,1.89933241496238,62.23
"05000US05113",75.2,"90100","91.12",44.86,"70.21","51.19",81.12,75.78,"96.05","92.7","584",43.7,5.3,1.94332033154559,75.25
"05000US05115",91.93,"125000","95.04",54.22,"79.09","56.4",86.38,68.4,"97.77","96.47","664",35,5.4,1.94975251900301,69.46
"05000US05117",81.05,"68000","91.17",36.81,"61.59","46.7",84.44,72.01,"95.53","93.58","593",46.2,5.2,1.86853110297961,70.95
"05000US05119",97.45,"153700","96.19",64.36,"84.19","65.7",85.63,58.45,"96.05","96.24","841",36.9,5.4,1.61307716302846,60.23
"05000US05121",61.58,"82400","93.46",52.88,"76.02","59.45",87.11,72.05,"96.71","93.56","619",41.5,5.4,1.97330650570087,71.66
"05000US05123",88.21,"63300","91.49",40.74,"64.7","40.27",84.94,57.1,"96.58","93.03","612",38.9,5,1.4534821332761,56.45
"05000US05125",94.64,"151700","96.82",61.46,"83.1","60.29",90.35,78.36,"97.87","95.67","831",39.2,5.7,1.90909090909091,79.31
"05000US05127",71.08,"72800","90.77",45.83,"70.38","50.41",73.33,74.32,"95.1","89.12","512",41,5.2,1.93125810635538,74.8
"05000US05129",43.68,"98000","83.47",32.73,"56.33","18.8",66.43,77.62,"97.83","87.57","524",47.6,4.8,1.96361968816876,81.68
"05000US05131",96.54,"119900","95.93",56.36,"78.46","50.75",89.54,59.74,"97.27","96.47","680",37.5,5.3,1.85896980461812,61.9
"05000US05133",92.45,"79200","91.06",47.45,"71.29","60.88",84.32,74.89,"96.52","92.8","558",34.9,5.4,1.92449607106252,75.58
"05000US05135",61.66,"81000","96.33",46.46,"69.5","40.64",74.48,75.78,"96.63","96.46","549",47.4,5.2,1.97661136796301,75.06
"05000US05137",50.96,"113900","93.45",38.66,"63.45","38.57",72.29,72.73,"97.58","91.57","590",49.8,5.2,1.97476786435204,75.91
"05000US05139",92.95,"82800","95.75",43.01,"68.24","48.94",79.88,74.75,"97.39","97.8","670",40.1,5.5,1.67184356136821,74.53
"05000US05141",68.81,"101600","94.26",42.33,"68.83","45.66",65.66,76.75,"97.39","94.25","652",47.9,5.1,1.97752481027437,77.94
"05000US05143",92.58,"167600","97.61",64.06,"85.55","66.53",92.94,53.29,"98.02","98.58","768",31.8,5.3,1.90712647425225,56.62
"05000US05145",88.95,"121300","96.26",55.13,"79.02","55.48",86.88,66.55,"98.07","97.92","699",36.6,5.6,1.94610942145371,67.85
"05000US05147",90.42,"66200","92.45",45.47,"70.63","56.37",74.18,66.51,"96.51","91.43","484",45.6,5.4,1.71072664359862,67.44
"05000US05149",87.29,"110500","92.33",49.93,"75.76","57.36",75.93,70.26,"97.49","88.39","600",39.3,5,1.95354425310372,68.53
"05000US06001",95.78,"707800","98.3",73.69,"91.88","74.9",95.17,53.26,"98.32","99.19","1674",37.4,4.9,1.56566411227678,55.52
"05000US06003",13.37,"349000","98.56",56.18,"78.81","51.11",17.25,83.95,"99.33","98.38","540",44.3,4.6,1.82608695652174,82.7
"05000US06005",48.67,"296400","98.02",57.93,"81.16","60.65",77.09,76.64,"98.37","99.26","1056",50.5,5.5,1.95663591199432,76.86
"05000US06007",78.87,"248100","98.16",59.49,"83.5","65.19",87.9,59.17,"98.2","98.65","1016",37.1,5.1,1.91544638639584,57.63
"05000US06009",36.16,"297700","96.7",61.67,"84.97","65.33",62.23,77.66,"98.65","98.1","1286",52.1,5.4,1.94069013033243,75.41
"05000US06011",83.74,"249800","97.56",63.83,"86.41","70.63",88.87,61.45,"98.45","98.19","877",35.1,5.3,1.93828201883875,58.26
"05000US06013",96.01,"582400","98.55",74.03,"91.55","76.31",95.37,65.65,"98.62","99.35","1702",39.4,5.7,1.72362386782809,65.89
"05000US06015",77.59,"204000","97.85",51.05,"76.91","57.08",86.16,62.4,"97.98","97.37","862",38.6,5,1.86702724767833,62.33
"05000US06017",55.48,"437200","98.45",71.1,"89.56","73.32",77.06,76.61,"98.18","99.18","1200",45.8,5.6,1.92687792748511,77.09
"05000US06019",91.8,"237500","97.17",69.8,"88.45","70.49",92.71,52.83,"97.53","98.87","967",32,5.2,1.83886364830086,52.33
"05000US06021",73.9,"222000","98.73",57.16,"82.6","62.03",91.29,59.71,"98.47","97.89","788",36.6,5.1,1.93920335429769,59.12
