"geoid","fuelheat","housingvalue","kitchen","mortgage","mortgagecost","mortgageval","occupy","occupyown","phone","plumbing","rentgross","rentprcinc","rooms","units","unitsownpop"
"05000US37169",86.9,"128600","94.93",58.46,"82.22","58.53",87,77.7,"97.79","95.23","650",46,5.5,1.94466894622319,78.54
"05000US37171",86.53,"121000","96.12",52.22,"78.31","58.39",85.17,72.22,"97.61","96.81","620",43.8,5.3,1.95142314990512,73.97
"05000US37173",63.88,"123200","95.71",39.98,"73.79","46.41",60.81,71.41,"96.66","93.39","634",41.4,5.1,1.70604446077531,68.71
"05000US37175",80.21,"211300","97.63",46.33,"74.57","53.34",72.2,76.8,"98.73","97.67","720",50.7,5.2,1.95383417121008,75.33
"05000US37177",65.67,"109900","93.54",49.53,"74.12","63.02",73.17,71.8,"95.77","93.76","729",49.2,5.3,1.6026977314531,68.98
"05000US37179",90.59,"229200","98",74.86,"91.47","78.57",94.38,80.51,"98.76","99.1","984",38,6.7,1.85026275527174,80.09
"05000US37181",87.87,"97700","92.72",52.91,"77.06","62.43",83.78,59.7,"96.14","93.78","687",40.7,5.2,1.49436335587991,59.23
"05000US37183",96.13,"265800","99.19",76.47,"91.33","77.27",92.66,63.91,"98.59","99.53","1102",36,5.9,1.72517656940625,66.82
"05000US37185",82.9,"95000","93.22",45.37,"71.38","55.16",65.12,72.53,"96.7","92.54","602",47.6,5.5,1.4607969151671,72.4
"05000US37187",68.41,"85000","92.27",44.11,"67.24","50.65",78.55,63.24,"96.81","93.65","646",45.5,5.7,1.53893159865957,63.11
"05000US37189",73.96,"239400","97.71",54.01,"81.56","55.58",60.72,60.65,"98.13","98.09","807",31.2,5.3,1.97445345124048,59.23
"05000US37191",84.81,"121900","96.99",56.06,"78.57","66.84",89.05,61.52,"98.26","99.38","750",37.6,5.4,1.66203559487467,61.61
"05000US37193",83.16,"124000","95.96",46.52,"73.43","50.52",84.69,74.19,"98.42","96.88","625",44.5,5.3,1.94759301710457,75.21
"05000US37195",88.08,"121300","96.06",58.54,"79.35","66.98",89.23,59.03,"97.91","96.92","751",40.6,5.3,1.58304282868526,57.87
"05000US37197",87.9,"125800","94.03",51.59,"77.31","45.58",88.78,76.7,"97.18","95.41","625",44.1,5.4,1.96342568617297,78.48
"05000US37199",66.21,"149800","94.86",44.29,"72.31","54.48",66.02,74.25,"98.15","94.99","620",47.4,5.3,1.98554444744664,73.89
"05000US38001",54.2,"148800","95.18",39.18,"62.29","38.66",73.04,72.47,"97.99","93.16","544",46.1,5.8,1.96367112810707,74.81
"05000US38003",81.69,"118800","99.12",42.97,"69.07","50.57",86.42,68.83,"97.38","98.47","677",44.9,6.2,1.95280235988201,74.35
"05000US38005",49.93,"73600","93.01",22.52,"43.01","25.38",75.34,65.3,"96.41","93.24","433",30.5,5.7,1.5781181619256,59.65
"05000US38007",45.46,"181600","96.05",32.62,"65.04","36.63",72.37,73.25,"98.7","92.11","950",40.6,5.5,1.97142857142857,82.73
"05000US38009",69.95,"149400","93.19",39.71,"66.87","44.31",68.86,78.3,"98.53","94.45","674",45.1,5.7,1.96508972267537,83.14
"05000US38011",75.89,"149300","97.85",37.39,"63.59","40.83",79.03,74.61,"98.64","95.65","555",41.4,6.1,1.98354792560801,78
"05000US38013",54.39,"114500","89.45",32.56,"59.08","37.12",65.59,79.13,"99.54","85.71","733",34.6,6,1.97491448118586,81.88
"05000US38015",90.56,"250600","98.77",59.8,"83.12","66.46",94.15,68.46,"97.94","99.09","851",36.9,6,1.94153690340549,74.04
"05000US38017",94.59,"211500","98.69",68.24,"86.43","69.78",92.63,52.84,"97.18","99.12","804",32.2,5.3,1.90793073243043,59.94
"05000US38019",76.86,"98600","97.69",30.67,"55.26","37.87",75.55,80.71,"98.45","95.82","547",49.9,6.1,1.98560736902706,84.29
"05000US38021",54.1,"105300","95.26",40.94,"65.48","47.23",80.97,71.94,"97.65","95.67","630",43.1,6.1,1.95714285714286,76.79
"05000US38023",54.78,"159300","96.41",22.49,"43.16","19.74",69.25,75.51,"98.03","89.6","830",54,5.7,1.98570151921358,76.07
"05000US38025",46.66,"189100","93.99",38.88,"69.25","41.5",65.14,77.73,"99.09","92.69","947",38.8,5.8,1.88895631067961,78.15
"05000US38027",81.27,"83500","91.74",36.97,"62.42","34.34",79.04,68.92,"97.43","92.94","603",44,6.3,1.88973384030418,77.71
"05000US38029",64.72,"101700","93.85",29.6,"54.15","31.01",70.89,83.16,"99.04","90.62","484",52.6,6.2,1.95308483290488,85.87
"05000US38031",81.12,"127800","97.11",43.3,"68.57","50.42",78.65,76.67,"99.1","95.74","591",45.6,6.4,1.97569444444444,83.18
"05000US38033",76.17,"120000","96.09",34.89,"61.84","44.54",81.6,67.64,"96.26","96.47","661",44.6,6.6,1.98948598130841,69.69
"05000US38035",90.33,"193300","98.25",63.28,"82.94","66.24",92.59,48.57,"96.82","98.97","822",29.5,5.1,1.89223895416184,54.29
"05000US38037",41.86,"77700","95.42",34.36,"57.69","35.56",64.2,86.2,"98.81","94.07","525",51.9,5.9,1.98994515539305,89.04
"05000US38039",64.1,"98200","94.66",30.25,"49.6","30.95",72.23,72.63,"98.11","90.7","432",50.2,6.5,1.94791666666667,76.75
"05000US38041",78.96,"111000","93.33",31.65,"58.14","32.53",73.45,80.54,"98.7","92.04","666",45.1,6.3,1.98795180722892,80.4
"05000US38043",73.55,"104900","95.5",32.69,"58.7","41.82",63.29,73.65,"99.15","94.54","480",45.2,5.7,1.98862559241706,71.38
"05000US38045",68.29,"103200","93.55",33.68,"57.2","33.05",81.23,74.85,"99.78","95.47","529",48.4,6.5,1.95918367346939,75.86
"05000US38047",71.23,"84300","94.83",25.03,"46.98","23.94",73.58,84.14,"97.85","93.5","628",52.6,6.5,1.98301245753114,87.04
"05000US38049",53.01,"123200","95.19",40.78,"66.64","48",83.22,84.63,"99.2","94.87","568",42.8,6,1.98668188736682,88.21
"05000US38051",69.02,"76600","94.51",24.73,"44.97","22.08",70.84,76.16,"99.47","93.65","528",53.5,6,1.96886864085042,79.56
"05000US38053",78.59,"211900","96.97",39.54,"66.67","38.01",65.24,55.66,"98.67","97.44","1079",30.7,4.9,1.9048473967684,54.84
"05000US38055",74.32,"163000","98.44",40.78,"66.57","39.82",70.63,80.71,"99.08","98.16","683",46.1,5.7,1.92130163858758,82.08
"05000US38057",47.19,"175200","98.31",44.51,"69.29","45.83",78.23,82.66,"99.46","97.68","744",43.9,6.2,1.9754186925986,84.68
"05000US38059",84.35,"199800","99.61",57.69,"80.7","66.15",91.96,70.48,"98.67","99.29","864",37.7,6.1,1.94244976359338,75.2
"05000US38061",60.38,"167900","93.58",38.73,"68.7","37.63",64.71,67.91,"97.43","88.16","746",33.5,5.2,1.80061823802164,69.09
"05000US38063",68.56,"85200","91.35",30.77,"52.76","34.1",77.52,72.08,"98.78","93.71","508",52.9,6.1,1.98715348208249,76.37
"05000US38065",24.53,"177600","98.6",45.97,"74.11","53.1",74.78,87.6,"98.8","97.91","547",50,6.6,1.96666666666667,86.01
"05000US38067",65.12,"89700","97.86",35.76,"56.09","38.73",82.15,76.95,"97.96","96.98","575",47.9,6.2,1.95377358490566,81.76
"05000US38069",69.59,"114800","95.71",37.78,"61.59","33.65",83.85,72.02,"99.48","97.66","668",45.8,6.4,1.96076406814662,76.95
"05000US38071",81.15,"152100","96.9",41.72,"67.52","49.83",85.29,60.5,"98.96","97.08","563",41.6,5.4,1.90905456725964,67.19
"05000US38073",72.24,"123200","96.73",46.52,"67.84","45.09",87.96,70.47,"99.16","97.58","619",46.4,6.5,1.97676383607943,74.52
"05000US38075",43.83,"140400","95.42",42.51,"65.47","46.24",76.73,81.02,"99.12","92.72","714",41,6,1.97945205479452,82.69
